moviename,openingdate,sales,attendance,screen,playcount,country,country_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
호두까기 인형과 4개의 왕국,2018-12-06,4120048900,513767,294,14238,abroad,1,513767,fantasy,3,3,G_rated,2,12
고스트버스터즈,2016-08-25,4116570075,515553,511,18026,abroad,1,515553,thriller,11,3,PG 12,1,8
곰돌이 푸 다시 만나 행복해,2018-10-03,4093369860,492201,536,21601,abroad,1,2864863,adventure,8,3,G_rated,2,10
어바웃 타임,2013-12-05,4077030200,536634,282,12323,abroad,1,536634,romance,10,2,PG 15,0,12
화이트 하우스 다운,2013-06-27,4015707500,569500,480,19850,abroad,1,965055,action,2,3,PG 15,0,6
인시디어스: 두번째 집,2013-12-05,4001137000,577748,405,18653,abroad,1,1825151,fear,12,3,PG 15,0,12
애나벨 집으로,2019-06-26,3993147140,481766,653,16619,abroad,1,481766,fear,12,3,PG 15,0,6
언노운,2011-02-17,3953681000,522794,186,14849,abroad,1,522794,drama,4,1,PG 15,0,2
애프터 어스,2013-05-30,3831856167,537920,484,19867,abroad,1,1012844,sf,7,3,PG 12,1,5
스파이 지니어스,2020-01-22,3699691180,450932,712,22244,abroad,1,450932,animation,6,2,G_rated,2,1
그린치,2018-12-19,3675441950,485064,724,10998,abroad,1,485064,animation,6,2,G_rated,2,12
카3: 새로운 도전,2017-07-13,3599544501,487916,800,14906,abroad,1,487916,animation,6,3,G_rated,2,7
온워드: 단 하루의 기적,2020-06-17,3590809620,418084,1138,45697,abroad,1,644344,fantasy,3,3,G_rated,2,6
버즈 오브 프레이(할리 퀸의 황홀한 해방),2020-02-05,3558359190,402035,963,38319,abroad,1,402035,action,2,1,PG 15,0,2
헌츠맨: 윈터스 워,2016-04-13,3544262706,445009,557,25789,abroad,1,445009,action,2,3,PG 12,1,4
원더 우먼 1984,2020-12-23,3490431460,390986,2260,45347,abroad,1,1278193,action,2,3,PG 12,1,12
해피 데스데이 2 유,2019-02-14,3437809200,412850,657,18254,abroad,1,232331,fear,12,3,PG 15,0,2
킹 아서: 제왕의 검,2017-05-17,3373678655,415714,588,20315,abroad,1,512169,action,2,2,PG 12,1,5
겨울왕국 2,2019-11-21,3214172730,378728,665,16777,abroad,1,5337414,animation,6,2,G_rated,2,11
아메리칸 메이드,2017-09-14,3175539145,401541,691,26356,abroad,1,2550424,crime,5,3,PG 15,0,9
언더 워터,2016-07-13,3111772391,384789,518,13058,abroad,1,246998,thriller,11,3,PG 15,0,7
고질라: 킹 오브 몬스터,2019-05-29,3085036318,359041,923,15867,abroad,1,359041,action,2,3,PG 12,1,5
에베레스트,2015-09-24,3055119748,332180,331,9343,abroad,1,332180,action,2,3,PG 15,0,9
섹스 앤 더 시티 2,2010-06-10,3022970000,398347,233,14265,abroad,1,398347,comedy,0,3,X_rated,3,6
그레이의 50가지 그림자,2015-02-26,2918598796,364415,512,19227,abroad,1,364415,drama,4,3,X_rated,3,2
브링 더 소울 : 더 무비,2019-08-07,2902500310,336074,569,10199,domestic,0,260925,etc,1,3,G_rated,2,8
오즈 그레이트 앤드 파워풀,2013-03-07,2886185000,350563,425,15582,abroad,1,350563,fantasy,3,3,G_rated,2,3
컨트롤러,2011-03-03,2862234500,373344,371,18872,abroad,1,373344,romance,10,2,PG 12,1,3
그녀,2014-05-22,2858143500,350618,168,9980,abroad,1,350618,romance,10,3,PG 12,1,5
호빗: 다섯 군대 전투,2014-12-17,2840004341,326887,350,7347,abroad,1,1682629,fantasy,3,3,PG 12,1,12
아메리칸 스나이퍼,2015-01-14,2800001438,344766,308,10769,abroad,1,485934,action,2,3,X_rated,3,1
덤보,2019-03-27,2775096512,345521,797,17627,abroad,1,1215268,etc,1,3,G_rated,2,3
론 레인저,2013-07-04,2750149500,387527,401,14155,abroad,1,408764,action,2,3,PG 15,0,7
레드 라이딩 후드,2011-03-17,2728562500,362572,249,20020,abroad,1,362572,drama,4,2,PG 15,0,3
