moviename,openingdate,attendance,screen,playcount,director,actor,openingmonth,country_abroad,country_domestic,distributor_etc_distributor,distributor_major_abroad,distributor_major_domestic,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_drama,genre_etc,genre_fantasy,genre_fear,genre_mystery,genre_romance,genre_sf,genre_thriller,filmrank_G_rated,filmrank_PG 12,filmrank_PG 15,filmrank_X_rated,sales
그것만이 내 세상,2018-01-17,3419339,956,95431,2154087,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,27450805382
맨 인 블랙 3,2012-05-24,3379762,770,69538,3379762,3,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27301520070
캐리비안의 해적: 낯선 조류,2011-05-19,3130046,960,67036,1223870,3,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27279967500
귀향,2016-02-24,3587173,876,90286,1834886,3,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27249738990
마녀,2018-06-27,3189091,1117,90843,3081633,3,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27242029463
비긴 어게인,2014-08-13,3427524,525,82684,1994157,3,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27098834504
드래곤 길들이기,2010-05-20,2562412,563,57264,2356796,3,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27040606000
끝까지 간다,2014-05-29,3450305,645,84875,4289071,2,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27007303900
탐정: 리턴즈,2018-06-13,3152872,1137,107907,2152990,3,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26909459678
리얼 스틸,2011-10-12,3579666,603,87650,2340672,3,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26566677000
