moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
로렉스,2012-05-03,2153198000,298780,463,7843,abroad,1,major_abroad,1,1311466,3,G_rated,2,5
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,2148708050,277206,489,5329,abroad,1,major_domestic,0,277206,3,G_rated,2,12
앨빈과 슈퍼밴드: 악동 어드벤처,2016-02-04,2125772200,292495,380,8917,abroad,1,etc_distributor,2,292495,3,G_rated,2,2
주먹왕 랄프,2012-12-19,2116917500,301436,286,7086,abroad,1,major_abroad,1,1027905,3,G_rated,2,12
신데렐라:마법 반지의 비밀,2019-02-20,2114475240,284922,575,9977,abroad,1,etc_distributor,2,284922,3,G_rated,2,2
다이노 타임,2015-04-30,2108596800,284900,430,6713,domestic,0,major_domestic,0,284900,3,G_rated,2,4
"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",2014-01-09,2080468500,320409,406,8363,abroad,1,major_domestic,0,276411,1,G_rated,2,1
빌리와 용감한 녀석들 2,2013-02-21,2006325000,306837,289,7410,abroad,1,etc_distributor,2,306837,3,G_rated,2,2
모모와 다락방의 수상한 요괴들,2012-07-05,1988264000,300174,253,7084,abroad,1,etc_distributor,2,300174,2,G_rated,2,7
빌리와 용감한 녀석들 3D,2012-08-08,1961802000,299628,241,7176,abroad,1,etc_distributor,2,448385,3,G_rated,2,8
눈의 여왕,2013-02-07,1846221000,276913,316,6528,abroad,1,major_domestic,0,172036,3,G_rated,2,2
파이스토리 : 악당상어 소탕작전,2013-01-10,1808263000,267440,298,7483,abroad,1,etc_distributor,2,267440,2,G_rated,2,1
신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,1757416340,222234,539,8629,domestic,0,major_domestic,0,222234,3,G_rated,2,12
극장판 도라에몽: 진구의 인어대해전,2010-07-28,1741701000,260701,140,5639,abroad,1,major_domestic,0,260701,3,G_rated,2,7
명탐정 코난: 감청의 권,2019-07-24,1740310530,219078,602,8790,abroad,1,major_domestic,0,219078,3,PG 12,1,7
극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,2011-12-22,1729310500,261757,237,3524,abroad,1,major_domestic,0,276411,3,G_rated,2,12
조제,2020-12-10,1673427570,186647,1179,38291,domestic,0,major_abroad,1,186647,2,PG 12,1,12
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010-12-23,1631689000,234093,139,4502,abroad,1,etc_distributor,2,276411,2,G_rated,2,12
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,2012-12-19,1281250750,329560,275,5943,abroad,1,major_domestic,0,276411,3,G_rated,2,12
트롤: 월드 투어,2020-04-29,1170580320,152589,344,15459,abroad,1,major_abroad,1,152589,2,G_rated,2,4
애니멀 크래커,2020-08-05,1028859740,129688,473,7473,abroad,1,etc_distributor,2,129688,3,G_rated,2,8
극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,2020-08-20,1004751550,123329,661,13299,abroad,1,major_domestic,0,123329,3,G_rated,2,8
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,2020-09-30,780549310,97392,591,7752,abroad,1,etc_distributor,2,276411,2,G_rated,2,9
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,696241320,76787,149,5615,abroad,1,etc_distributor,2,76787,2,PG 15,0,10
극장판 미니특공대: 공룡왕 디노,2020-02-06,620860720,79772,485,6333,domestic,0,etc_distributor,2,79772,3,G_rated,2,2
빅샤크3: 젤리몬스터 대소동,2020-07-29,562559660,72912,400,5259,abroad,1,etc_distributor,2,72912,2,G_rated,2,7
프린스 코기,2019-12-24,498854680,71207,242,2179,abroad,1,etc_distributor,2,725482,3,G_rated,2,12
극장판 바이올렛 에버가든,2020-11-12,467986490,55030,131,5063,abroad,1,etc_distributor,2,55030,2,G_rated,2,11
더 프린세스 : 도둑맞은 공주,2020-08-12,457449660,55828,423,4192,abroad,1,etc_distributor,2,55828,3,G_rated,2,8
날씨의 아이,2019-10-30,444956180,58968,194,5921,abroad,1,etc_distributor,2,1848288,3,PG 15,0,10
눈의 여왕4,2019-12-24,444649620,67159,271,2239,abroad,1,major_domestic,0,172036,3,G_rated,2,12
