moviename,openingdate,sales,attendance,screen,playcount,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
새미의 어드벤쳐 2,2012-08-01,10856204000,1457380,486,26436,major_domestic,0,725482,animation,6,3,G_rated,2,8
다이하드: 굿 데이 투 다이,2013-02-06,10825703000,1438056,459,33055,etc_distributor,2,1438056,action,2,3,PG 15,0,2
말레피센트,2014-05-29,10776965900,1397526,554,38894,major_abroad,1,1964124,fantasy,3,3,PG 12,1,5
에이리언: 커버넌트,2017-05-09,10745826264,1307226,841,41761,etc_distributor,2,1263301,sf,7,2,PG 15,0,5
브레이킹 던 part1,2011-11-30,10692564000,1459449,636,43060,major_domestic,0,1476866,drama,4,2,PG 15,0,11
드라큘라: 전설의 시작,2014-10-08,10607703908,1321751,477,46483,major_abroad,1,1321751,fantasy,3,3,PG 15,0,10
위대한 개츠비,2013-05-16,10581329643,1445248,562,36008,major_abroad,1,1445248,drama,4,3,PG 15,0,5
퓨리,2014-11-20,10367640686,1362114,590,37155,major_abroad,1,1362114,action,2,3,PG 12,1,11
폼페이: 최후의 날,2014-02-20,10303127700,1373873,561,43288,major_domestic,0,845717,action,2,3,PG 15,0,2
스타트렉 비욘드,2016-08-17,10190375820,1157156,716,38199,major_domestic,0,1523348,action,2,3,PG 12,1,8
라푼젤,2011-02-10,10161464800,1011163,328,22107,etc_distributor,2,1011163,animation,6,2,G_rated,2,2
워크래프트: 전쟁의 서막,2016-06-09,10142271205,1163274,736,34087,major_abroad,1,1220482,action,2,3,PG 12,1,6
셜록: 유령신부,2016-01-02,9992425049,1278894,891,32683,etc_distributor,2,1278894,crime,5,2,PG 12,1,1
월드 인베이젼,2011-03-10,9799358000,1307873,441,44241,etc_distributor,2,1100450,action,2,3,PG 12,1,3
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000,1149628,398,27236,major_abroad,1,1417198,action,2,3,G_rated,2,1
굿 다이노,2016-01-07,9756167238,1328913,814,33127,major_abroad,1,1328913,animation,6,3,G_rated,2,1
슈퍼 배드,2010-09-16,9717463000,1027050,338,24577,major_abroad,1,2175962,animation,6,3,G_rated,2,9
소스 코드,2011-05-04,9640238500,1277690,403,38744,major_domestic,0,1220482,action,2,2,PG 12,1,5
메리다와 마법의 숲,2012-09-27,9024766000,1231024,479,22087,etc_distributor,2,1231024,animation,6,3,G_rated,2,9
엘리시움,2013-08-29,9017994500,1207732,588,31515,major_abroad,1,890696,sf,7,3,X_rated,3,8
퍼시픽 림: 업라이징,2018-03-21,8962712795,1077235,1145,49600,major_abroad,1,1808174,action,2,2,PG 15,0,3
토탈 리콜,2012-08-15,8958236000,1219637,448,27089,etc_distributor,2,1219637,action,2,3,PG 15,0,8
