moviename,openingdate,sales,attendance,screen,playcount,country,country_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
그린 존,2010-03-25,4460075000,596403,268,27563,abroad,1,1604184,action,2,2,PG 15,0,3
메카닉: 리크루트,2016-08-31,4458200800,551897,320,17497,abroad,1,551897,action,2,3,PG 15,0,8
타잔 3D,2014-01-09,4452845000,597142,527,12994,abroad,1,448385,animation,6,2,G_rated,2,1
"그날, 바다",2018-04-12,4446000528,540631,643,30376,domestic,0,540631,etc,1,1,PG 15,0,4
스텝 업: 올 인,2014-09-03,4337490134,564589,325,15372,abroad,1,564589,drama,4,3,PG 12,1,9
인시디어스4: 라스트 키,2018-01-31,4301309864,554521,769,23869,abroad,1,558817,fear,12,3,PG 15,0,1
이층의 악당,2010-11-24,4271750500,596851,379,26998,domestic,0,903270,comedy,0,2,PG 15,0,11
루퍼,2012-10-11,4265566000,571922,386,23599,abroad,1,555288,sf,7,3,X_rated,3,10
셰이프 오브 워터: 사랑의 모양,2018-02-22,4218077050,507102,404,20200,abroad,1,507102,drama,4,3,X_rated,3,2
명탐정 코난 : 침묵의 15분,2011-08-03,4212992000,644652,275,12017,abroad,1,499714,animation,6,2,G_rated,2,8
퀴즈왕,2010-09-16,4188846000,573001,321,23579,domestic,0,628336,comedy,0,3,PG 15,0,9
다이노소어 어드벤처 3D,2013-12-19,4140930000,507164,464,8994,abroad,1,507164,animation,6,3,G_rated,2,12
러브 & 드럭스,2011-01-13,4125733000,527077,284,14250,abroad,1,527077,drama,4,1,G_rated,2,1
아이스 에이지: 지구 대충돌,2016-07-20,4092484600,553760,580,13018,abroad,1,553760,animation,6,3,G_rated,2,7
메리와 마녀의 꽃,2017-12-07,4064280239,535331,751,21383,abroad,1,800649,animation,6,2,G_rated,2,12
마법사의 제자,2010-07-21,4057522000,570775,300,19017,abroad,1,549368,action,2,1,G_rated,2,7
발레리안: 천 개 행성의 도시,2017-08-30,4047756408,511931,629,23405,abroad,1,511931,action,2,2,PG 12,1,8
변산,2018-07-04,4016562273,490519,763,27504,domestic,0,1424759,drama,4,2,PG 15,0,7
명탐정 코난: 천공의 난파선,2010-07-21,4002088500,618420,235,11902,abroad,1,504145,animation,6,3,G_rated,2,7
페르디난드,2018-01-03,3854216500,533776,698,13789,abroad,1,648296,animation,6,1,G_rated,2,1
47미터 2,2019-08-28,3846315153,501934,649,24027,abroad,1,545989,fear,12,3,PG 15,0,8
동네사람들,2018-11-07,3818515112,461693,731,23598,domestic,0,461693,action,2,2,PG 15,0,11
라이프,2017-04-05,3791748210,459984,647,27762,abroad,1,459984,drama,4,3,PG 15,0,4
퍼시 잭슨과 괴물의 바다,2013-09-12,3791349609,519584,409,17054,abroad,1,519584,adventure,8,3,PG 12,1,9
소셜 네트워크,2010-11-18,3744100000,509177,310,18695,abroad,1,476516,drama,4,3,PG 15,0,11
원더풀 고스트,2018-09-26,3720931600,450374,351,13999,domestic,0,450374,comedy,0,3,PG 12,1,9
카 2,2011-07-20,3681072000,465599,379,11690,abroad,1,465599,animation,6,2,G_rated,2,7
먹고 기도하고 사랑하라,2010-09-30,3674965000,500266,324,22299,abroad,1,500266,drama,4,1,PG 15,0,9
이웃사촌,2020-11-25,3647897960,424764,1363,65450,domestic,0,4590240,drama,4,3,PG 12,1,11
노예 12년,2014-02-27,3644423700,498043,326,19373,abroad,1,498043,drama,4,3,PG 15,0,2
그린 북,2019-01-09,3631254060,434899,398,18244,abroad,1,434899,drama,4,2,PG 12,1,1
눈의 여왕 2: 트롤의 마법거울,2014-12-24,3623421700,498320,479,6508,abroad,1,432381,animation,6,2,G_rated,2,12
계춘할망,2016-05-19,3600794348,482516,526,19644,domestic,0,1662172,drama,4,2,PG 15,0,5
감쪽같은 그녀,2019-12-04,3594862790,469296,761,24843,domestic,0,391624,drama,4,2,G_rated,2,12
히든 피겨스,2017-03-23,3580767033,449518,448,19742,abroad,1,449518,drama,4,3,PG 12,1,3
소리도 없이,2020-10-15,3558905900,403424,1084,41127,domestic,0,403424,crime,5,3,PG 15,0,10
소녀괴담,2014-07-02,3554806054,481696,455,19432,domestic,0,481696,drama,4,2,PG 15,0,7
레드,2010-11-03,3550436000,482053,317,22481,abroad,1,742455,action,2,3,PG 15,0,11
또 하나의 약속,2014-02-06,3533799400,497613,192,14847,domestic,0,1174004,drama,4,3,PG 12,1,2
밀레니엄 : 여자를 증오한 남자들,2012-01-11,3504237000,443855,321,12005,abroad,1,476516,thriller,11,2,X_rated,3,1
장난스런 키스,2019-03-27,3501463050,428009,532,20458,abroad,1,418773,romance,10,2,PG 12,1,3
앨빈과 슈퍼밴드2,2009-12-30,3411479000,511322,244,14053,abroad,1,511322,animation,6,3,G_rated,2,12
세 얼간이,2011-08-18,3355257500,459307,232,13197,abroad,1,459307,etc,1,3,PG 15,0,8
친정엄마,2010-04-22,3321091000,472009,275,24994,domestic,0,472009,drama,4,2,G_rated,2,4
나의 소녀시대,2016-05-12,3314491150,409537,201,12404,abroad,1,418773,romance,10,3,PG 15,0,5
넛잡: 땅콩 도둑들,2014-01-29,3283691800,478993,382,10817,domestic,0,478993,animation,6,3,G_rated,2,1
앨빈과 슈퍼밴드3,2011-12-15,3279645000,496560,327,9584,abroad,1,1360205,animation,6,3,G_rated,2,12
언스토퍼블,2010-11-10,3273318500,452320,297,21495,abroad,1,452320,action,2,2,PG 12,1,11
무뢰한,2015-05-27,3262207431,414641,482,23660,domestic,0,414641,romance,10,3,X_rated,3,5
터닝메카드W: 블랙미러의 부활,2017-01-18,3215588500,429933,570,14146,domestic,0,429933,animation,6,3,G_rated,2,1
어린왕자,2015-12-23,3195586794,428855,494,8384,abroad,1,428855,animation,6,3,G_rated,2,12
창수,2013-11-28,3146542000,429141,415,19471,domestic,0,429141,etc,1,3,X_rated,3,11
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020-09-29,3129974000,102008,106,4771,domestic,0,102008,etc,1,1,G_rated,2,9
스머프: 비밀의 숲,2017-04-28,3122661000,427764,607,10658,abroad,1,427764,animation,6,3,G_rated,2,4
극장판 포켓몬스터 너로 정했다!,2017-12-21,3117529700,415255,626,7796,abroad,1,276411,adventure,8,2,G_rated,2,12
워리어스 웨이,2010-12-01,3097461500,432072,433,23127,abroad,1,432072,action,2,3,PG 15,0,12
신이 보낸 사람,2014-02-13,3068195600,424258,285,12684,domestic,0,424258,drama,4,1,PG 15,0,2
러빙 빈센트,2017-11-09,3061456861,384540,272,14651,abroad,1,384540,animation,6,3,PG 15,0,11
나인,2009-12-31,3046461500,397889,336,16466,abroad,1,397889,drama,4,2,PG 12,1,12
판타스틱 4,2015-08-20,3029310600,399667,451,16241,abroad,1,392032,action,2,3,PG 12,1,8
피터 래빗,2018-05-16,3006258100,388300,599,12522,abroad,1,388300,animation,6,3,G_rated,2,5
노브레싱,2013-10-30,2991824739,451669,584,24912,domestic,0,451669,drama,4,3,PG 15,0,10
익스펜더블,2010-08-19,2973224000,390438,259,15798,abroad,1,1056097,action,2,3,PG 15,0,8
보통사람,2017-03-23,2956397623,383336,621,19928,domestic,0,460403,drama,4,2,PG 15,0,3
티끌모아 로맨스,2011-11-10,2941601500,423915,323,19288,domestic,0,423915,romance,10,2,PG 15,0,11
어쌔신 크리드,2017-01-11,2899784921,355913,566,16218,abroad,1,355913,action,2,3,PG 15,0,1
소수의견,2015-06-24,2892681205,383582,398,16273,domestic,0,383582,drama,4,3,PG 15,0,6
크로니클,2012-03-15,2884776000,384398,324,20957,abroad,1,392032,drama,4,3,PG 15,0,3
대장 김창수,2017-10-19,2879121115,381483,748,21744,domestic,0,1873097,drama,4,2,PG 12,1,10
내 심장을 쏴라,2015-01-28,2856859132,387409,452,20042,domestic,0,387409,drama,4,2,PG 15,0,1
스토커,2013-02-28,2829265174,378874,329,15590,abroad,1,378874,thriller,11,1,PG 15,0,2
석조저택 살인사건,2017-05-09,2829106886,353517,539,17925,domestic,0,353517,thriller,11,3,PG 15,0,5
플립,2017-07-12,2828867900,355617,249,13177,abroad,1,355617,romance,10,2,PG 12,1,7
내 이름은 칸,2011-03-24,2821380000,381334,227,15855,abroad,1,381334,drama,4,2,PG 12,1,3
프롬 파리 위드 러브,2010-03-11,2804967500,369394,294,22348,abroad,1,369394,action,2,2,X_rated,3,3
오! 문희,2020-09-02,2802734600,351730,1110,52239,domestic,0,8982706,comedy,0,2,PG 12,1,9
그린랜드,2020-09-29,2777724520,325869,779,26421,abroad,1,325869,action,2,2,PG 12,1,9
헬보이,2019-04-10,2777106321,323198,726,26507,abroad,1,323198,action,2,2,X_rated,3,4
공자 춘추전국시대,2010-02-11,2774370000,371607,236,15346,abroad,1,371607,action,2,3,PG 12,1,2
링컨: 뱀파이어 헌터,2012-08-30,2750911500,344876,337,16372,abroad,1,872588,action,2,3,X_rated,3,8
커플즈,2011-11-02,2705566500,360045,387,19564,domestic,0,686134,comedy,0,3,PG 15,0,11
눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,2694247700,366442,526,10639,abroad,1,432381,animation,6,3,G_rated,2,1
미드나잇 선,2018-06-21,2679300500,326086,472,14847,abroad,1,639978,romance,10,2,PG 12,1,6
프렌즈: 몬스터섬의비밀,2011-12-29,2668476500,364732,290,10153,abroad,1,364732,animation,6,3,G_rated,2,12
치외법권,2015-08-27,2664941005,346483,446,15297,domestic,0,346483,action,2,2,PG 15,0,8
캐롤,2016-02-04,2645756616,319357,288,11092,abroad,1,223629,drama,4,3,X_rated,3,2
미드나잇 인 파리,2012-07-05,2633727398,355081,189,9256,abroad,1,221924,comedy,0,3,PG 15,0,7
극적인 하룻밤,2015-12-03,2610567429,320884,434,18332,domestic,0,320884,romance,10,3,X_rated,3,12
