moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
터미네이터: 다크 페이트,2019-10-30,20153895830,2409062,1315,81336,abroad,1,major_abroad,1,2409062,sf,7,3,PG 15,0,10
조작된 도시,2017-02-09,20143992587,2515501,1019,62241,domestic,0,major_domestic,0,2515501,action,2,3,PG 15,0,2
사바하,2019-02-20,20007508194,2398519,1174,78096,domestic,0,major_domestic,0,2398519,mystery,9,3,PG 15,0,2
레디 플레이어 원,2018-03-28,19933108071,2254430,1079,77173,abroad,1,major_abroad,1,1107519,action,2,3,PG 12,1,3
시라노; 연애조작단,2010-09-16,19838369000,2684783,415,77736,domestic,0,major_domestic,0,2137558,romance,10,3,PG 12,1,9
조선명탐정: 흡혈괴마의 비밀,2018-02-08,19822789764,2444136,1249,74953,domestic,0,major_domestic,0,3700803,adventure,8,3,PG 12,1,2
타짜: 원 아이드 잭,2019-09-11,19687029214,2229239,1429,66479,domestic,0,major_domestic,0,2229239,crime,5,3,X_rated,3,9
레미제라블,2012-12-19,19635813500,2707479,592,49348,abroad,1,major_abroad,1,2707479,drama,4,3,PG 15,0,12
맘마미아!2,2018-08-08,19607520003,2293884,750,59060,abroad,1,major_abroad,1,2293884,etc,1,3,PG 12,1,8
미션임파서블:고스트프로토콜,2011-12-15,19536876000,2533735,697,53514,abroad,1,major_domestic,0,1944199,action,2,2,PG 15,0,12
마이펫의 이중생활,2016-08-03,19406436655,2520670,726,39653,abroad,1,major_abroad,1,1311466,animation,6,3,G_rated,2,8
