moviename,openingdate,sales,attendance,screen,playcount,country,distributor,director,genre,actor,filmrank
변호인,2013.12.18,41918383800,5687571,925,97261,한국,(주)넥스트엔터테인먼트월드(NEW),양우석,드라마,"송강호(송우석), 김영애(최순애), 오달수(박동호)",[국내] 15세 관람가
라이온 킹,2019.7.17,41519457430,4743264,1936,126496,미국,월트디즈니컴퍼니코리아 유한책임회사,존 파브로,모험,"도날드 글로버(심바 목소리), 비욘세(날라 목소리), 제임스 얼 존스(무파사 목소리)",[국내] 전체 관람가 [해외] PG
남산의 부장들,2020.1.22,41225216650,4750345,1659,140051,한국,(주)쇼박스,우민호,드라마,"이병헌(김규평), 이성민(박통), 곽도원(박용각)",[국내] 15세 관람가
어메이징 스파이더맨,2012.6.28,41163951235,4853123,1118,92755,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,마크 웹,액션,"앤드류 가필드(피터 파커/스파이더맨), 엠마 스톤(그웬 스테이시)",[국내] 12세 관람가
킹스맨: 골든 서클,2017.9.27,40987484736,4945484,1687,95922,미국,이십세기폭스코리아(주),매튜 본,액션,"콜린 퍼스(해리 하트), 줄리안 무어(포피), 태런 에저튼(에그시)",[국내] 청소년 관람불가
봉오동 전투,2019.8.7,40588648538,4787538,1476,107030,한국,(주)쇼박스,원신연,액션,"유해진(황해철), 류준열(이장하), 조우진(마병구)",[국내] 15세 관람가
의형제,2010.2.4,40153729000,5416812,569,118243,한국,(주)쇼박스,장훈,액션,"송강호(이한규), 강동원(송지원)",[국내] 15세 관람가
더 테러 라이브,2013.7.31,39869706381,5584139,809,93488,한국,롯데쇼핑㈜롯데엔터테인먼트,카일 랜킨,액션,"라다 미첼, 토마스 제인",
마스터,2016.12.21,39784641065,4935320,1501,70786,한국,(주)씨제이이엔엠,자레드 헤스,코미디,"자흐 갈리피아나키스(데이비드), 오웬 윌슨(스티브), 크리스틴 위그(켈리)",[국내] 15세 관람가 [해외] PG-13
마션,2015.10.8,39663145295,4880800,1132,114183,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",해스래프 둘룰,SF,케이티 색코프,[국내] 12세 관람가
숨바꼭질,2013.8.14,39602977500,5604103,779,88062,한국,(주)넥스트엔터테인먼트월드(NEW),브릿 네이피어,스릴러,"엘리자베스 롬(레이첼/낸시), 케일리 디퍼(미셸), 크리스티안 캠벨(래리)",[국내] 청소년 관람불가
나쁜 녀석들: 더 무비,2019.9.11,39560195124,4573902,1511,113938,한국,(주)씨제이이엔엠,손용호,범죄,"마동석(박웅철), 김상중(오구탁), 김아중(곽노순)",[국내] 15세 관람가
히말라야,2015.12.16,39469775448,5129409,1095,81042,한국,(주)씨제이이엔엠,이석훈,드라마,"황정민(엄홍길), 정우(박무택)",[국내] 12세 관람가
감시자들,2013.7.3,39380162179,5508017,949,100309,한국,(주)넥스트엔터테인먼트월드(NEW),조의석,범죄,"설경구(황반장), 정우성(제임스), 한효주(하윤주)",[국내] 15세 관람가
신비한 동물사전,2016.11.16,39300515858,4662534,1431,115676,미국,워너브러더스 코리아(주),데이빗 예이츠,판타지,"에디 레드메인(뉴트 스캐맨더), 콜린 파렐(퍼시발 그레이브스), 캐서린 워터스턴(티나 골드스틴)",[국내] 12세 관람가 [해외] PG-13
토르: 라그나로크,2017.10.25,39227691395,4853778,1640,137423,미국,월트디즈니컴퍼니코리아 유한책임회사,타이카 와이티티,액션,"크리스 헴스워스(토르), 마크 러팔로(헐크), 톰 히들스턴(로키)",[국내] 12세 관람가
엣지 오브 투모로우,2014.6.4,38732961201,4699307,801,94559,미국,워너브러더스 코리아(주),더그 라이만,액션,"톰 크루즈(빌 케이지), 에밀리 블런트(리타 브라타스키), 빌 팩스톤(파렐 상사)",[국내] 12세 관람가
다만 악에서 구하소서,2020.8.5,38602260990,4357803,1998,193842,한국,(주)씨제이이엔엠,홍원찬,범죄,"황정민(인남), 이정재(레이), 박정민(유이)",[국내] 15세 관람가
월드 워 Z,2013.6.20,38555356000,5237525,964,100823,미국,롯데쇼핑㈜롯데엔터테인먼트,마크 포스터,드라마,"브래드 피트(제리 레인), 미레유 에노스(카린 레인)",[국내] 15세 관람가 [해외] PG-13
완득이,2011.10.20,38526161500,5309928,629,117763,한국,(주)씨제이이엔엠,이한,드라마,"김윤석(동주), 유아인(완득)",[국내] 12세 관람가
인사이드 아웃,2015.7.9,38024694936,4969735,931,84000,미국,월트디즈니컴퍼니코리아(주),피트 닥터,애니메이션,"에이미 포엘러(조이/기쁨 목소리), 필리스 스미스(슬픔/새드니스 목소리), 민디 캘링(까칠/디스거스트 목소리)",[국내] 전체 관람가 [해외] PG
주토피아,2016.2.17,37096057742,4706158,735,131005,미국,월트디즈니컴퍼니코리아(주),바이론 하워드,애니메이션,"지니퍼 굿윈(주디 홉스 목소리), 제이슨 베이트먼(닉 와일드 목소리), 샤키라(가젤 목소리)",[국내] 전체 관람가 [해외] PG
군도: 민란의 시대,2014.7.23,36988022499,4774931,1394,67237,한국,(주)쇼박스,윤종빈,액션,"하정우(도치), 강동원(조윤)",[국내] 15세 관람가
범죄와의 전쟁: 나쁜놈들 전성시대,2012.2.2,36538823500,4719872,713,91889,한국,(주)쇼박스,윤종빈,범죄,"최민식(최익현), 하정우(최형배)",[국내] 청소년 관람불가
조선명탐정 : 각시투구꽃의 비밀,2011.1.27,35841769500,4786259,634,84189,한국,(주)쇼박스,김석윤,코미디,"김명민(명탐정), 오달수(개장수), 한지민(한객주)",[국내] 12세 관람가
도가니,2011.9.22,35566854800,4662822,756,88337,한국,(주)씨제이이엔엠,황동혁,드라마,"공유(강인호), 정유미(서유진)",[국내] 청소년 관람불가
아가씨,2016.6.1,35211229991,4287839,1171,90365,한국,(주)씨제이이엔엠,박찬욱,스릴러,"김민희(히데코), 김태리(숙희), 하정우(백작)",[국내] 청소년 관람불가
신세계,2013.2.21,34881330905,4682492,671,90580,한국,(주)넥스트엔터테인먼트월드(NEW),박훈정,범죄,"이정재(이자성), 최민식(강과장), 황정민(정청)",[국내] 청소년 관람불가
어메이징 스파이더맨 2,2014.4.23,34869101800,4168353,1312,91715,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),마크 웹,액션,"앤드류 가필드(피터 파커/스파이더맨), 엠마 스톤(그웬 스테이시)",[국내] 12세 관람가
엑스맨: 데이즈 오브 퓨처 패스트,2014.5.22,34654558766,4313871,1056,82722,미국,이십세기폭스코리아(주),브라이언 싱어,SF,"휴 잭맨(로건 / 울버린), 제임스 맥어보이(찰스 자비에), 마이클 패스벤더(에릭 랜셔)",[국내] 12세 관람가
바람과 함께 사라지다,2012.8.8,34614661161,4909937,694,78591,한국,(주)넥스트엔터테인먼트월드(NEW),김주호,코미디,"차태현(이덕무), 오지호(백동수), 민효린(백수련)",[국내] 12세 관람가
해리포터와 죽음의 성물2,2011.7.13,34507600000,4400270,757,70380,미국,워너브러더스 코리아(주),데이빗 예이츠,모험,"다니엘 래드클리프(해리 포터), 엠마 왓슨(헤르미온느), 루퍼트 그린트(론 위즐리)",[국내] 전체 관람가 [해외] PG-13
내 아내의 모든 것,2012.5.17,34223620500,4598821,563,91773,한국,(주)넥스트엔터테인먼트월드(NEW),민규동,멜로/로맨스,"임수정(연정인), 이선균(이두현), 류승룡(장성기)",[국내] 15세 관람가
데드풀 2,2018.5.16,34185664639,3784602,1576,113288,미국,이십세기폭스코리아(주),데이빗 레이치,SF,"라이언 레이놀즈(웨이드 윌슨 / 데드풀), 프레드 세비지(프레드), 조슈 브롤린(케이블)",[국내] 12세 관람가
베놈,2018.10.3,34100211207,3888096,1308,116149,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,앤디 서키스,액션,"톰 하디(에디 브록 / 베놈), 미셸 윌리엄스(앤 웨잉)",[국내] 15세 관람가
판도라,2016.12.7,33955398164,4313864,1184,90758,한국,(주)넥스트엔터테인먼트월드(NEW),박정우,드라마,"김남길(재혁), 김주현(연주), 정진영(평섭)",[국내] 12세 관람가
반도,2020.7.15,33072531280,3812250,2575,199048,한국,(주)넥스트엔터테인먼트월드(NEW),연상호,액션,"강동원(한정석), 이정현(민정)",[국내] 15세 관람가
암수살인,2018.10.3,32995138548,3789321,1177,126127,한국,(주)쇼박스,김태균,범죄,"김윤석(김형민), 주지훈(강태오)",[국내] 15세 관람가
매드 맥스: 분노의 도로,2015.5.14,32912842162,3843343,799,98824,미국,워너브러더스 코리아(주),조지 밀러,액션,"톰 하디(맥스 로켓탄스키), 샤를리즈 테론(임페라토르 퓨리오사), 니콜라스 홀트(눅스)",[국내] 15세 관람가 [해외] R
아이언맨 2,2010.4.29,32635195500,4425003,921,87665,미국,CJ ENM,존 파브로,SF,"로버트 다우니 주니어(토니 스타크 / 아이언 맨), 기네스 팰트로(페퍼 포츠), 돈 치들(워 머신 /제임스 로드)",[국내] 12세 관람가 [해외] PG-13
타짜-신의 손,2014.9.3,32373120927,4015361,890,80584,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",강형철,드라마,"T.O.P(함대길), 신세경(허미나), 곽도원(장동식)",[국내] 청소년 관람불가
분노의 질주: 홉스&쇼,2019.8.14,32241767793,3657536,1311,94896,미국,유니버설픽쳐스인터내셔널 코리아(유),데이빗 레이치,액션,"드웨인 존슨(루크 홉스), 제이슨 스타뎀(데카드 쇼), 이드리스 엘바(브릭스턴)",[국내] 12세 관람가
연가시,2012.7.5,32175400664,4515833,759,71928,한국,(주)씨제이이엔엠,박정우,드라마,"김명민(재혁), 문정희(경순), 김동완(재필)",[국내] 15세 관람가
캡틴 아메리카: 윈터 솔져,2014.3.26,31711040385,3963251,1106,110109,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),조 루소,액션,"크리스 에반스(스티브 로저스/캡틴 아메리카), 스칼릿 조핸슨(나타샤 로마노프/블랙 위도우), 사무엘 L. 잭슨(닉 퓨리)",[국내] 15세 관람가
혹성탈출: 반격의 서막,2014.7.10,31514053095,4002560,956,72881,미국,이십세기폭스코리아(주),맷 리브스,액션,"앤디 서키스(시저), 게리 올드만(드레퓌스), 제이슨 클락(말콤)",[국내] 12세 관람가 [해외] PG-13
쿵푸팬더3,2016.1.28,31340798156,3984812,1365,97404,미국,(주)씨제이이엔엠,여인영,애니메이션,"잭 블랙(포 목소리), 안젤리나 졸리(타이그리스 목소리), 더스틴 호프만(시푸 목소리)",[국내] 전체 관람가 [해외] PG
꾼,2017.11.22,31312029795,4018035,1314,117398,한국,(주)쇼박스,장창원,범죄,"현빈(황지성), 유지태(박희수 검사), 배성우(고석동)",[국내] 15세 관람가
남한산성,2017.10.3,31225083792,3849087,1229,71101,한국,(주)씨제이이엔엠,황동혁,드라마,"이병헌(최명길), 김윤석(김상헌), 박해일(인조)",[국내] 15세 관람가
그래비티,2013.10.17,31214018600,3194693,636,80584,미국,"(주)스튜디오디에이치엘,주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",알폰소 쿠아론,SF,"산드라 블록(라이언 스톤), 조지 클루니(맷 코왈스키)",[국내] 12세 관람가 [해외] PG-13
국가부도의 날,2018.11.28,30845862137,3747952,1180,100804,한국,(주)씨제이이엔엠,최국희,드라마,"김혜수(한시현), 유아인(윤정학), 허준호(갑수)",[국내] 12세 관람가
미이라,2017.6.6,30504689978,3689325,1257,105228,미국,유니버설픽쳐스인터내셔널 코리아(유),저스틴 프라이스,액션,"데이빗.E 카자레스(세거), 디에나 그레이스 콩고",[국내] 12세 관람가
조선명탐정 : 사라진 놉의 딸,2015.2.11,30456879428,3872015,825,80499,한국,(주)쇼박스,김석윤,코미디,"김명민(명탐정 김민), 오달수(서필), 이연희(히사코)",[국내] 12세 관람가
82년생 김지영,2019.10.23,30298542310,3678156,1486,145441,한국,롯데컬처웍스(주)롯데엔터테인먼트,김도영,드라마,"정유미(지영), 공유(대현)",[국내] 12세 관람가
건축학개론,2012.3.22,30222696000,4111068,593,106067,한국,롯데쇼핑㈜롯데엔터테인먼트,이용주,멜로/로맨스,"엄태웅(현재 승민), 한가인(현재 서연), 이제훈(과거 승민)",[국내] 12세 관람가
댄싱퀸,2012.1.18,30130775500,4058225,544,80987,한국,(주)씨제이이엔엠,이석훈,코미디,"황정민(정민), 엄정화(정화)",[국내] 12세 관람가
