영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
드래곤 길들이기 2,2014.7.23,23979935189.0,"3,000,056",829,"51,924",미국,(주)씨제이이엔엠
포화속으로,2010.6.16,23831958600.0,"3,330,324",742,"80,091",한국,롯데쇼핑㈜롯데엔터테인먼트
프리즌,2017.3.23,23790276987.0,"2,931,897","1,047","89,024",한국,(주)쇼박스
말모이,2019.1.9,23685091520.0,"2,812,877","1,203","87,591",한국,롯데컬처웍스(주)롯데엔터테인먼트
너의 결혼식,2018.8.22,23676244369.0,"2,820,969",970,"98,193",한국,메가박스중앙(주)플러스엠
스물,2015.3.25,23563421686.0,"3,044,811",926,"100,161",한국,(주)넥스트엔터테인먼트월드(NEW)
앤트맨,2015.9.3,23529209937.0,"2,841,795",949,"74,649","미국,영국",월트디즈니컴퍼니코리아(주)
가디언즈 오브 갤럭시 VOL. 2,2017.5.3,23452686686.0,"2,735,721","1,218","63,789",미국,월트디즈니컴퍼니코리아 유한책임회사
형,2016.11.23,23113768293.0,"2,979,659",993,"83,518",한국,(주)씨제이이엔엠
타워,2012.12.25,22996601500.0,"3,166,425",638,"58,869",한국,(주)씨제이이엔엠
퀵,2011.7.20,22960890000.0,"3,125,069",514,"60,714",한국,(주)씨제이이엔엠
슈렉 포에버,2010.7.1,22809145100.0,"2,223,851",561,"51,317",미국,CJ ENM
토르: 다크 월드,2013.10.30,22525808500.0,"3,039,889",733,"78,095",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
방자전,2010.6.2,22490024000.0,"2,985,483",495,"67,562",한국,CJ ENM
극비수사,2015.6.18,22389535897.0,"2,860,786",894,"66,211",한국,(주)쇼박스
표적,2014.4.30,22256769300.0,"2,841,828",716,"72,255",한국,(주)씨제이이엔엠
빅 히어로,2015.1.21,21993119765.0,"2,801,949",825,"62,229",미국,월트디즈니컴퍼니코리아(주)
고지전,2011.7.20,21968557600.0,"2,945,137",585,"53,738",한국,(주)쇼박스
미스 페레그린과 이상한 아이들의 집,2016.9.28,21841214586.0,"2,718,158",904,"70,451","미국,벨기에,영국",이십세기폭스코리아(주)
타이탄,2010.4.1,21796996500.0,"2,642,483",694,"87,911",미국,워너브러더스 코리아(주)
친구 2,2013.11.14,21795237513.0,"2,969,900",968,"69,856",한국,롯데쇼핑㈜롯데엔터테인먼트
감기,2013.8.14,21774884000.0,"3,117,859",806,"55,046",한국,아이러브시네마
목격자,2018.8.15,21737061097.0,"2,524,720","1,021","71,403",한국,(주)넥스트엔터테인먼트월드(NEW)
호빗: 뜻밖의 여정,2012.12.13,21724069066.0,"2,605,124","1,028","44,977","미국,뉴질랜드",워너브러더스 코리아(주)
하모니,2010.1.28,21641750000.0,"3,018,131",384,"77,723",한국,CJ ENM
메이즈 러너: 스코치 트라이얼,2015.9.16,21596946349.0,"2,744,413",804,"58,725",미국,이십세기폭스코리아(주)
정글북,2016.6.9,21517647134.0,"2,537,438",924,"59,041",미국,월트디즈니컴퍼니코리아(주)
레드: 더 레전드,2013.7.18,21511371970.0,"3,004,649",739,"55,733",미국,롯데쇼핑㈜롯데엔터테인먼트
