영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
소스 코드,2011.5.4,"9,640,238,500","1,277,690",403,"38,744",미국,"(주)디스테이션,(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트"
특수본,2011.11.24,"8,096,052,500","1,118,258",471,"40,881",한국,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트"
수상한 고객들,2011.4.14,"7,953,428,000","1,059,350",411,"33,930",한국,(주)씨제이이엔엠
오직 그대만,2011.10.20,"7,591,008,500","1,027,622",435,"35,365",한국,(주)쇼박스
개구쟁이 스머프,2011.8.11,"7,722,519,000","1,027,436",399,"18,225",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
라푼젤,2011.2.10,"10,161,464,800","1,011,163",328,"22,107",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
심장이 뛴다,2011.1.5,"7,538,083,500","1,006,947",445,"26,778",한국,롯데쇼핑㈜롯데엔터테인먼트
파퍼씨네 펭귄들,2011.9.7,"7,049,177,000","980,387",333,"26,307",미국,이십세기폭스코리아(주)
메가마인드,2011.1.13,"8,688,842,000","875,631",414,"22,905",미국,CJ ENM
체포왕,2011.5.4,"6,413,325,500","870,887",407,"32,545",한국,롯데쇼핑㈜롯데엔터테인먼트
만추,2011.2.17,"6,313,817,000","845,845",444,"25,590",한국,CJ ENM
퍼펙트 게임,2011.12.21,"5,996,408,000","811,772",413,"19,726",한국,롯데쇼핑㈜롯데엔터테인먼트
킹스 스피치,2011.3.17,"5,963,126,500","806,248",327,"33,979",영국,(주)화앤담이엔티
틴틴 : 유니콘호의 비밀,2011.12.7,"6,646,528,500","803,256",644,"31,075",미국,롯데쇼핑㈜롯데엔터테인먼트
화이트: 저주의 멜로디,2011.6.9,"5,587,166,000","790,954",311,"28,059",한국,(주)씨제이이엔엠
푸른소금,2011.8.31,"5,739,824,500","771,699",476,"28,346",한국,(주)씨제이이엔엠
풍산개,2011.6.23,"5,395,201,500","714,136",286,"19,194",한국,(주)넥스트엔터테인먼트월드(NEW)
통증,2011.9.7,"5,246,996,000","700,272",317,"29,211",한국,롯데쇼핑㈜롯데엔터테인먼트
고양이: 죽음을 보는 두 개의 눈,2011.7.7,"4,780,502,000","672,314",304,"18,972",한국,(주)넥스트엔터테인먼트월드(NEW)
